# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
14296 2392 0  5814
      711      2222 0.20188371357569839804
      711      2225 0
      711      2226 -0.085824804075344138243
      711      2229 0
      711      2230 -180.82799677885708434
      712      2221 0
      712      2222 181.0220785689963634
      712      2225 0
      712      2226 -0.091398132711535684525
      712      2229 0
      712      2230 0.25572481257395413001
      712      2233 0
      712      2234 -0.096027017920222890179
      712      2237 0
      712      2238 -181.090378230938569
      713      2299 0
      713      2300 184.38769172271526031
      713      2305 0
      713      2306 -0.32823929208069729802
      713      2307 0
      713      2308 0.65671733076876781521
      713      2313 0
      713      2314 -0.35567060423752738796
      713      2315 0
      713      2316 -184.36049915716580472
      714      2229 0
      714      2230 181.24247493967695277
      714      2233 0
      714      2234 -0.095082574492718535675
      714      2237 0
      714      2238 0.22605236261213776383
      714      2243 0
      714      2244 -0.10254450039151845331
      714      2245 0
      714      2246 -181.27090022740489417
      715      2237 0
      715      2238 181.44834482220443306
      715      2243 0
      715      2244 -0.11095086971782273932
      715      2245 0
      715      2246 0.22086197245549013535
      715      2247 0
      715      2248 -181.43417690574619883
      715      2253 0
      715      2254 -0.12407901919589572892
      716      2307 0
      716      2308 184.96078008566649942
      716      2313 0
      716      2314 -0.3637748274973200413
      716      2315 0
      716      2316 0.73463981932166588784
      716      2321 0
      716      2322 -0.42591418379996925925
      716      2323 0
      716      2324 -184.90573089369087256
      717      2345 0
      717      2346 191.24341236781847897
      717      2351 0
      717      2352 9.0591096787392277889
      717      2353 0
      717      2354 -4.4144012050480165854
      717      2359 0
      717      2360 -195.88812084150964665
      718      2245 0
      718      2246 181.63305268695634709
      718      2247 0
      718      2248 0.41039571575133199088
      718      2253 0
      718      2254 -0.26030567237176849282
      718      2255 0
      718      2256 -181.78314273033589643
      719      2247 0
      719      2248 181.98792317824995735
      719      2253 0
      719      2254 -0.12948716654877473475
      719      2255 0
      719      2256 0.25562684314139832997
      719      2261 0
      719      2262 -0.13253251815550493031
      719      2263 0
      719      2264 -181.98153033668708645
      720      2315 0
      720      2316 185.58185945149608642
      720      2321 0
      720      2322 -0.47994931684282504669
      720      2323 0
      720      2324 1.0637373949082213898
      720      2329 0
      720      2330 -0.58616608372555234485
      720      2331 0
      720      2332 -185.5794814458359383
      721      2255 0
      721      2256 182.20941678440493661
      721      2261 0
      721      2262 -0.13759557623756474287
      721      2263 0
      721      2264 0.29111419589482190329
      721      2269 0
      721      2270 -0.14868467920156036577
      721      2271 0
      721      2272 -182.21425072486061936
      722      2323 0
      722      2324 186.49922121721030521
      722      2329 0
      722      2330 -0.6383477175654245217
      722      2331 0
      722      2332 2.0721634818674043998
      722      2335 0
      722      2336 -0.78382133515513041644
      722      2339 0
      722      2340 -187.14921564635716322
      723      2263 0
      723      2264 182.4686529810324771
      723      2269 0
      723      2270 -0.15471072408349584304
      723      2271 0
      723      2272 0.32478967219148813239
      723      2277 0
      723      2278 -0.16800902211287521704
      723      2279 0
      723      2280 -182.47072290702760711
      724      2351 0
      724      2352 202.94814611406906124
      724      2353 0
      724      2354 -3.1587600085328015886
      724      2359 0
      724      2360 3.9012654922083189746
      724      2369 0
      724      2370 -199.97840490194022323
      724      2371 0
      724      2372 -3.7122466958043989216
      725      2369 0
      725      2370 219.67629990762711145
      725      2371 0
      725      2372 -15.137495510947989175
      725      2379 0
      725      2380 17.819991248501647618
      725      2381 0
      725      2382 -39.98782723146211282
      725      2389 0
      725      2390 -182.37096841371862865
      729      2379 0
      729      2380 218.90458997975116517
      729      2381 139.57647885085435746
      729      2382 -54.955508307646461219
      729      2387 -172.77871949879576619
      729      2388 0
      729      2389 33.202240647941422935
      729      2390 -163.94908167210471106
      762      2189 0
      762      2190 180.40100122156928819
      762      2191 0
      762      2192 -0.057672444118998085483
      762      2197 0
      762      2198 0.10798452611557542158
      762      2201 0
      762      2202 -0.060914100652867717023
      762      2205 0
      762      2206 -180.39039920291298813
      788      2377 98.821320441170911408
      788      2378 0
      788      2381 90.535614395317054459
      788      2382 0
      788      2385 -56.095656833554990328
      788      2386 0
      788      2387 -172.83271550982348685
      788      2388 0
      788      2389 39.571437506890532632
      788      2390 0
      789      2139 0
      789      2140 -0.039739494593281944612
      789      2141 0
      789      2142 179.87276328335511266
      789      2147 0
      789      2148 -0.040934584608067217659
      789      2149 0
      789      2150 0.066539002611513950458
      789      2157 0
      789      2158 -179.8586282067652462
      790      2171 0
      790      2172 -0.05258143916983882421
      790      2173 0
      790      2174 180.29983622667887744
      790      2179 0
      790      2180 -0.055061066492141041984
      790      2181 0
      790      2182 0.12582491909155002485
      790      2189 0
      790      2190 -180.31801864010844838
      791      2147 0
      791      2148 -0.041861193195460028038
      791      2149 0
      791      2150 179.92638124637574037
      791      2155 0
      791      2156 -0.043259776602619814945
      791      2157 0
      791      2158 0.097325490108817247492
      791      2165 0
      791      2166 -179.9385857666864581
      792      2155 0
      792      2156 -0.04373175142238680535
      792      2157 0
      792      2158 180.0104913838849825
      792      2165 0
      792      2166 0.089561908941763981873
      792      2171 0
      792      2172 -0.04621367154546632966
      792      2173 0
      792      2174 -180.01010786985889922
      793      2179 0
      793      2180 -0.056366755305569560264
      793      2181 0
      793      2182 180.41107066375755608
      793      2189 0
      793      2190 0.046297313117307406505
      793      2191 0
      793      2192 -0.057672444118998092422
      793      2197 0
      793      2198 -180.34332877745029577
      794      2165 0
      794      2166 180.11770958185294944
      794      2171 0
      794      2172 -0.099631117509744002159
      794      2173 0
      794      2174 0.19509774056207729309
      794      2181 0
      794      2182 -180.21317620490523836
      864      2377 145.77419628413670694
      864      2378 0
      864      2383 154.16342514014121434
      864      2384 0
      864      2385 -139.08343091263637348
      864      2386 0
      864      2387 -121.01826544012713782
      864      2388 0
      864      2391 -39.835925071514374451
      864      2392 0
      867      2133 0
      867      2134 179.80914405034073411
      867      2139 0
      867      2140 -0.077944102620794070146
      867      2141 0
      867      2142 0.10211127068303094134
      867      2149 0
      867      2150 -179.83331121840296873
      890      2085 0
      890      2086 179.39907516055677661
      890      2091 0
      890      2092 -0.055673620222095890342
      890      2093 0
      890      2094 0.072971331578666670525
      890      2101 0
      890      2102 -179.41637287191335304
      891      1679 0
      891      1680 178.3426725766201173
      891      1681 0
      891      1682 -0.0045611360936473168207
      891      1691 0
      891      1692 0.0029467370672493992459
      891      1695 0
      891      1696 -178.33633352501084346
      891      1699 0
      891      1700 -0.0047246525828571819816
      892      1893 0
      892      1894 178.68554414395546814
      892      1897 0
      892      1898 -0.010304310248116068174
      892      1901 0
      892      1902 0.023860466214923031075
      892      1905 0
      892      1906 -0.010805945503115914341
      892      1909 0
      892      1910 -178.68829435441912779
      893      1631 0
      893      1632 178.28285272888084023
      893      1633 0
      893      1634 0.01256392741519232574
      893      1639 0
      893      1640 -0.0077752822042635554023
      893      1641 0
      893      1642 -178.28764137409172008
      894      1633 0
      894      1634 178.2940454864275921
      894      1639 0
      894      1640 -0.0039737224372846475726
      894      1641 0
      894      1642 0.0051084475526711288149
      894      1647 0
      894      1648 -0.0040170849997240819229
      894      1649 0
      894      1650 -178.29116312654326748
      895      1883 0
      895      1884 -0.009432830467349506004
      895      1885 0
      895      1886 178.67494496854155273
      895      1893 0
      895      1894 0.013297112421626988352
      895      1897 0
      895      1898 -0.0099134784487088858929
      895      1901 0
      895      1902 -178.66889577204707962
      896      1641 0
      896      1642 178.29518021154297003
      896      1647 0
      896      1648 -0.0040170849997240819229
      896      1649 0
      896      1650 0.007624016599954278918
      896      1655 0
      896      1656 -0.0039879677794809244989
      896      1657 0
      896      1658 -178.29479917536374955
      897      1649 0
      897      1650 178.3037331033236228
      897      1655 0
      897      1656 -0.003958850559237767075
      897      1657 0
      897      1658 0.010243428818841937566
      897      1663 0
      897      1664 -178.30605213638389728
      897      1665 0
      897      1666 -0.0039655451993175589928
      898      2015 0
      898      2016 179.10570020652505718
      898      2017 0
      898      2018 -0.019349745808552278742
      898      2025 0
      898      2026 0.037508264804694810279
      898      2027 0
      898      2028 -0.019980648380822550736
      898      2035 0
      898      2036 -179.10387807714039354
      899      1657 0
      899      1658 178.31266621101696046
      899      1663 0
      899      1664 0.0093746103053682656309
      899      1665 0
      899      1666 -0.0040013570596405083346
      899      1671 0
      899      1672 -178.31396729619183361
      899      1673 0
      899      1674 -0.004072168070838024824
      900      1663 0
      900      1664 178.32076418795054451
      900      1671 0
      900      1672 0.013914387931150368899
      900      1673 0
      900      1674 -0.0082799791751798929723
      900      1679 0
      900      1680 -178.32639859670655369
      901      1901 0
      901      1902 178.70592156210068424
      901      1905 0
      901      1906 -0.010916748958708486286
      901      1909 0
      901      1910 0.020267282755458526644
      901      1913 0
