# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
2392 14296 0  3636
      156      5680 0.055555555555552055269
      161      5183 0
      161      5186 0
      161      5190 0
      162      5183 -0.055555555555557252501
      162      5186 -0.22222222222222617893
      162      5190 -0.055555555555554511638
      163      4690 0
      163      5145 0
      163      5188 0
      164      4690 0.055555555555556905556
      164      5145 0.22222222222222107191
      164      5188 0.055555555555556905556
      169      5178 0
      169      5183 0
      169      5186 0
      170      5178 -0.055555555555556912495
      170      5183 -0.22222222222222381971
      170      5186 -0.055555555555557266378
      171      4640 0
      171      4690 0
      171      5145 0
      172      4640 0.055555555555551708324
      172      4690 0.22222222222221579835
      172      5145 0.05555555555555443531
      177      5173 0
      177      5178 0
      177      5183 0
      178      5173 -0.055555555555557252501
      178      5178 -0.22222222222222132171
      178      5183 -0.055555555555554442249
      179      4201 0
      179      4640 0
      179      4690 0
      180      4201 0.055555555555556898617
      180      4640 0.22222222222222379195
      180      4690 0.055555555555557252501
      183      5166 0
      183      5173 0
      183      5178 0
      184      5166 -0.05555555555555204833
      184      5173 -0.22222222222222373644
      184      5178 -0.055555555555557252501
      187      4201 0
      187      4202 0
      187      4640 0
      188      4201 0.22222222222221613142
      188      4202 0.055555555555554428371
      188      4640 0.055555555555554442249
      193      5166 0
      193      5173 0
      193      5213 0
      194      5166 -0.22222222222222617893
      194      5173 -0.055555555555554511638
      194      5213 -0.055555555555557245562
      195      4201 0
      195      4202 0
      195      4220 0
      196      4201 0.055555555555556905556
      196      4202 0.22222222222222107191
      196      4220 0.055555555555556905556
      201      5166 0
      201      5199 0
      201      5213 0
      202      5166 -0.05555555555555725944
      202      5199 -0.055555555555556912495
      202      5213 -0.22222222222222381971
      203      4202 0
      203      4205 0
      203      4220 0
      204      4202 0.05555555555555443531
      204      4205 0.055555555555552055269
      204      4220 0.22222222222221851839
      205      4205 0
      205      4207 0
      205      4220 0
      206      4205 0.22222222222222343113
      206      4207 0.055555555555556905556
