1i-,,1i+,,1r,,2i,,2r,
X,Y,X,Y,X,Y,X,Y,X,Y
12.20751507,12.69320101,12.07015935,20.90160473,,,14.01656414,2.799127252,11.21674168,18.51898418
12.39739388,13.11256569,12.26043588,21.13093562,,,14.19843585,3.854283971,11.4050563,18.77428209
12.5883394,13.54307432,12.45412159,21.4,,,14.37312411,4.695945946,11.59330061,19.06317184
12.76373226,13.98296734,12.63580816,21.6,,,14.55537388,5.570453266,11.78153789,19.35542076
12.99508035,14.63987425,12.82394007,21.9,,,14.73035429,6.272522523,11.96969081,19.68797988
13.21324992,15.30458193,13.01199104,22.05452434,,,14.92006677,6.953652872,12.15779451,20.04405329
13.38831797,15.87362753,13.19899273,22.02569757,,,15.01731391,7.245565878,12.34582792,20.43371852
13.57088138,16.59827797,13.3897376,22.03125,,,,,12.909436,21.83785703
13.7498144,17.32580236,13.58057387,21.99312594,,,,,13.4720528,23.71564036
13.87879156,18.04265203,13.80039924,21.77552553,,,,,13.65962923,24.32365249
13.99723587,18.87035473,13.97766529,21.38548705,,,,,13.84756421,24.76034628
14.16378175,20.41244369,14.16374738,20.42886637,,,,,14.03596319,24.975334
14.35382382,20.75380068,14.35382382,20.75380068,,,,,14.22480508,24.97869318
14.54386835,21.09398461,14.54386835,21.09398461,,,,,14.41392115,24.85104423
14.76234467,21.5209741,14.76234467,21.5209741,,,,,14.6031708,24.65957079
14.9399222,21.6656989,14.93812419,21.84121622,,,,,14.79256809,24.39755451
,,,,,,,,14.92155545,24.28922086
