1i-,,1i+,,1r,,2i,,2r,
X,Y,X,Y,X,Y,X,Y,X,Y
12.60369053,-19.57462122,11.61125079,-17.32766197,14.53782479,5.267123288,11.16893599,13.86478496,10.61298013,8.81393727
12.78872307,-19.99930424,11.80301399,-17.77679643,14.8452513,5.45890411,11.36817954,14.25576298,10.79786822,8.981236642
12.97375059,-20.40339657,11.98804423,-18.19204205,,,11.5674165,14.673705,10.98275421,9.157115468
13.15876952,-20.77231313,12.16635261,-18.61886994,,,11.74625294,15.03547202,11.16764019,9.332994295
13.34884809,-21.20729149,12.35137887,-19.01781459,,,11.93949833,15.40173304,11.35252304,9.521742304
13.53387488,-21.60838101,12.52967866,-19.40946671,,,12.13274784,15.75114155,11.53740694,9.706200585
13.71384935,-21.97343682,12.71470775,-19.81999363,,,12.31159333,16.07583307,11.72228665,9.907817776
13.89887247,-22.35951229,12.89974144,-20.24939535,,,12.52134132,16.47860784,11.9071674,10.10514524
14.16890362,-22.92465753,13.09149752,-20.66935967,,,12.70409103,16.7971201,12.09204292,10.32392134
14.44231853,-23.35616438,13.27483507,-21.03741829,,,12.88683499,17.13922587,12.27691845,10.54269744
14.72429776,-23.88356164,13.45986186,-21.43850781,,,13.09058977,17.49706064,12.46179187,10.770053
15.01475942,-24.17123288,13.64656793,-21.83187581,,,13.27334188,17.80574227,12.64666111,11.01456747
,,13.83159315,-22.22653074,,,13.48309707,18.17902517,12.83152826,11.26766139
,,13.95773861,-22.46246575,,,13.66555028,18.48237018,13.01639541,11.52075531
,,,,,,13.86960211,18.8531252,13.20125418,11.80816705
,,,,,,13.9728231,19.06209621,13.38611295,12.09557879
,,,,,,14.20126554,19.45890411,13.57096754,12.40014944
,,,,,,14.47446985,19.89041096,13.75581375,12.73903791
,,,,,,14.75621508,20.32191781,13.91545599,13.02215992
,,,,,,15.00380832,20.70547945,14.10880125,13.36986301
,,,,,,,,14.33932433,13.70547945
,,,,,,,,14.60397602,14.18493151
,,,,,,,,14.8003237,14.56849315
,,,,,,,,14.97957783,15
