1i-,,1i+,,1r,,2i,,2r,
X,Y,X,Y,X,Y,X,Y,X,Y
5.680009391,0.029239655,5.658938763,0.029464408,5.680009391,11.56006845,5.680009391,0.029239655,5.658938763,51.01885357
5.911786308,0.034797193,5.890715679,0.026992121,5.911786308,11.08383648,5.911786308,0.034797193,5.890715679,50.82366548
6.143563224,0.024295081,6.122492595,0.032549659,6.143563224,10.55139574,6.143563224,0.024295081,6.122492595,50.61241774
6.37534014,0.045912269,6.354269511,0.038107197,6.37534014,9.954716398,6.37534014,0.045912269,6.354269511,50.40919983
6.607117056,0.035410157,6.586046428,0.03563491,6.607117056,9.374096707,6.607117056,0.035410157,6.586046428,50.18992226
6.838893973,0.024908044,6.817823344,0.033162623,6.838893973,8.689089289,6.838893973,0.024908044,6.817823344,49.94655522
7.070670889,0.038495408,7.04960026,0.030690336,7.070670889,7.907723971,7.070670889,0.038495408,7.04960026,49.67106888
7.302447805,0.044052945,7.281377176,0.044277699,7.302447805,7.046060402,7.302447805,0.044052945,7.281377176,49.41967202
7.534224721,0.017491183,7.513154093,0.017715937,7.534224721,6.015770506,7.534224721,0.017491183,7.513154093,49.15221551
7.766001637,0.023048721,7.744931009,0.0313033,7.766001637,4.768675334,7.766001637,0.023048721,7.744931009,48.80446074
7.997778554,0.044665909,7.991295283,0.237142026,7.976707925,3.255928486,7.997778554,0.09926872,7.976707925,48.5610937
8.196564885,-0.007124682,8.177480916,0.07307888,8.120229008,1.513689567,8.221127218,0.248302069,8.208484841,48.25348806
8.243602556,-1.585334093,8.20610687,1.592773537,8.187022901,0.152977099,8.461332386,0.039721335,8.440261757,47.9378526
8.430897034,-3.952561484,8.396013437,3.786331463,8.258151323,0.208126463,8.693109302,0.013159573,8.672038674,47.63024696
8.690768121,-5.712080726,8.629897416,5.329578026,8.503473644,0.031242003,8.924886219,0.018717111,8.90381559,47.29052202
8.924886219,-6.82498808,8.864015513,6.524416903,8.73525056,0.004680241,9.156663135,0.048364124,9.135592506,46.91867778
9.159004316,-7.778063678,9.133251325,7.728695423,8.967027476,0.026297429,9.388440051,0.061951487,9.367369422,46.53880371
9.430581309,-8.873284369,9.43292249,8.844321223,9.198804392,0.055944442,9.620216967,0.051449375,9.599146339,46.16695947
9.659724396,-9.664056638,9.702158301,9.773801284,9.430581309,0.053472155,9.851993883,0.048977088,9.830923255,45.79511523
9.888867484,-10.3289614,9.936276398,10.52699978,9.662358225,0.050999868,10.0837708,0.062564451,10.06270017,45.38312187
10.1446415,-11.12541556,10.17016038,11.1957984,9.894135141,0.056557406,10.31554772,0.052062338,10.29447709,45.0032478
10.37173606,-11.78048424,10.41855968,11.90566195,10.12591206,0.062114944,10.54732463,0.049590051,10.526254,44.72776146
10.60526886,-12.40127178,10.65267778,12.52566732,10.35768897,0.051612832,10.77910155,0.071207239,10.75803092,44.09896282
10.86104288,-13.04683215,10.88679587,13.06856087,10.58946589,0.049140545,11.01087846,0.052675302,10.98980784,43.60667121
11.09252715,-13.57681621,11.13496106,13.713653,10.82124281,0.070757733,11.24265538,0.066262665,11.22158475,43.11437959
11.32167024,-14.07610583,11.36907915,14.18364084,11.05301972,0.06025562,11.4744323,0.055760553,11.45336167,42.57390902
11.57744426,-14.62475066,11.60319725,14.69008154,11.28479664,0.057783333,11.70620921,0.061318091,11.68513858,42.11373671
11.82209767,-14.93601785,11.85159655,15.19679052,11.51657355,0.063340871,11.93798613,0.066875629,11.9169155,41.56523632
12.03807162,-15.44988835,12.08548053,15.67757652,11.74835047,0.052838759,12.16976305,0.072433167,12.14869242,41.00067627
12.29384564,-15.9867561,12.31959863,16.06624645,11.98012739,0.074455947,12.40153996,0.08602053,12.38046933,40.39596711
12.53849905,-16.37457429,12.56799793,16.56706689,12.2119043,0.07198366,12.63331688,0.083548243,12.61224625,39.75110881
12.75447299,-16.73019032,12.80188191,16.93176455,12.44368122,0.085571023,12.86509379,0.097135606,12.84402317,39.09019087
13.01024701,-17.07396309,13.03600001,17.25594097,12.67545814,0.091128561,13.09687071,0.086633494,13.07580008,38.43730276
13.24436511,-17.38210353,13.307577,17.66327899,12.90723505,0.088656274,13.32864763,0.108250682,13.307577,37.70411639
13.47824909,-17.65210618,13.57915399,18.02547155,13.13901197,0.102243637,13.56042454,0.105778395,13.53935391,36.96290019
13.72664839,-17.93544277,13.81327209,18.19542434,13.37078888,0.09977135,13.79220146,0.103306108,13.77113083,36.16547523
13.96076649,-18.12160634,14.04739019,18.43267472,13.6025658,0.105328888,14.02397838,0.124923296,14.00290775,35.31987131
14.19488459,-18.29374959,14.29578949,18.59784847,13.83434272,0.110886426,14.25575529,0.098361533,14.23468466,34.42608844
14.4641204,-18.43402067,14.51913815,18.68158596,14.06611963,0.116443964,14.48753221,0.103919071,14.46646158,33.41185819
14.73803857,-18.56452746,14.76379156,18.7783454,14.29789655,0.105941852,14.71930912,0.109476609,14.6982385,32.42974725
14.97215667,-18.57824098,15.03536856,18.74011735,14.52967347,0.095439739,14.95108604,0.115034147,14.93001541,31.29506963
15.20627477,-18.44193698,15.27768079,18.61828979,14.76145038,0.117056928,15.18286296,0.120591685,15.16179233,30.08812358
15.45443995,-18.21885677,15.49365473,18.40620689,14.9932273,0.11458464,15.41463987,0.110089573,15.39356924,28.73664068
15.68855805,-17.88767019,15.74942875,18.01213618,15.22500421,0.112112353,15.64641679,0.115647111,15.62534616,27.20047181
15.92267614,-17.37982746,15.98956703,17.37725785,15.45678113,0.117669891,15.87819371,0.129234474,15.85712308,25.47961696
16.17107544,-16.47073502,16.21005611,16.52159366,15.68855805,0.115197604,16.10997062,0.126762187,16.06782936,23.67155099
16.38740057,-15.27472493,16.46583013,14.67747038,15.92033496,0.128784967,16.34174754,0.14034955,16.24692971,21.74359782
16.55245383,-13.65713744,16.73038358,10.98013588,16.15211188,0.12631268,16.57352445,0.145907088,16.39442411,19.89449563
16.69994823,-10.8322123,16.84954969,7.854449929,16.3838888,0.147929868,16.79827783,0.288715722,16.51031257,18.05309124
16.83690731,-7.418320932,17.03707829,10.98849143,16.6889313,0.062290076,16.83540227,7.750289584,16.58405977,16.55072732
16.98440171,-10.96773858,17.18246562,13.60890794,16.7526248,3.255553897,16.97519084,11.17923664,16.62620103,14.06433319
17.18223151,-13.66385507,17.39879075,15.79124821,16.79476606,5.198322056,17.1278626,13.25760814,16.73155417,10.79678811
17.39879075,-15.57994001,17.60364408,17.57034597,16.826372,7.579571559,17.27099237,14.69608142,16.85446617,8.087976176
17.62705589,-17.43137589,17.85093132,18.98831812,16.9370229,9.499643766,17.39879075,15.79124821,16.92748092,9.419745547
17.82442748,-18.74982188,17.96769772,19.90715674,17.1213608,11.26108444,17.60364408,17.57034597,17.02290076,10.69872774
18.00105955,-19.39183214,,,17.35313772,12.67214814,17.85093132,18.98831812,17.2688552,12.25549625
,,,,17.58491463,13.56098643,17.96769772,19.90715674,17.50063212,13.2888714
,,,,17.81669155,14.2490791,,,17.73240904,14.00105354
,,,,17.96840008,14.64279593,,,17.92994618,14.40545637
