# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
19594 19594 0  1802
      244       246 0.001996666666666688239
      245       243 0.001996666666666688239
      245       245 0.0079666666666666184626
      245       247 0.0019866666666666595899
      246       244 0.001996666666666688239
      246       246 0.0079666666666666184626
      246       248 0.0019866666666666595899
      247       245 0.0019866666666666595899
      247       247 0.007930000000000013427
      247       249 0.001978333333333316766
      248       246 0.0019866666666666595899
      248       248 0.007930000000000013427
      248       250 0.001978333333333316766
      249       247 0.001978333333333316766
      249       249 0.0078900000000000410777
      249       251 0.0019666666666666196388
      250       248 0.001978333333333316766
      250       250 0.0078900000000000410777
      250       252 0.0019666666666666196388
      251       249 0.0019666666666666196388
      251       251 0.0078500000000000114825
      251       253 0.0019583333333333982455
      252       250 0.0019666666666666196388
      252       252 0.0078500000000000114825
      252       254 0.0019583333333333982455
      253       251 0.0019583333333333982455
      253       253 0.0078133333333333544052
      253       255 0.0019483333333333223251
      254       252 0.0019583333333333982455
      254       254 0.0078133333333333544052
      254       256 0.0019483333333333223251
      255       253 0.0019483333333333223251
      255       255 0.0077733333333333577697
      255       257 0.0019383333333332620173
      256       254 0.0019483333333333223251
      256       256 0.0077733333333333577697
      256       258 0.0019383333333332620173
      257       255 0.0019383333333332620173
      257       257 0.0077333333333333992982
      257       259 0.0019283333333333296453
      258       256 0.0019383333333332620173
      258       258 0.0077333333333333992982
      258       260 0.0019283333333333296453
      259       257 0.0019283333333333296453
      259       259 0.0076933333333332716911
      259       261 0.0019183333333333443642
      260       258 0.0019283333333333296453
      260       260 0.0076933333333332716911
      260       262 0.0019183333333333443642
      261       259 0.0019183333333333443642
      261       261 0.0076566666666666649207
      261       263 0.0019099999999999579554
      262       260 0.0019183333333333443642
      262       262 0.0076566666666666649207
      262       264 0.0019099999999999579554
      263       261 0.0019099999999999579554
      263       263 0.0076200000000000937123
      263       265 0.001899999999999998912
      264       262 0.0019099999999999579554
      264       264 0.0076200000000000937123
      264       266 0.001899999999999998912
      265       263 0.001899999999999998912
      265       265 0.0075799999999999166655
      265       267 0.001889999999999965926
      266       264 0.001899999999999998912
      266       266 0.0075799999999999166655
      266       268 0.001889999999999965926
      267       265 0.001889999999999965926
      267       267 0.0075400000000001065129
      267       269 0.0018800000000000801747
      268       266 0.001889999999999965926
      268       268 0.0075400000000001065129
      268       270 0.0018800000000000801747
      269       267 0.0018800000000000801747
      269       269 0.0075033333333332924431
      269       271 0.0018716666666666417242
      270       268 0.0018800000000000801747
      270       270 0.0075033333333332924431
      270       272 0.0018716666666666417242
      271       269 0.0018716666666666417242
      271       271 0.0074666666666666735297
      271       273 0.0018616666666666614304
      272       270 0.0018716666666666417242
      272       272 0.0074666666666666735297
      272       274 0.0018616666666666614304
      273       271 0.0018616666666666614304
      273       273 0.0074300000000000164524
      273       275 0.0018533333333333441937
      274       272 0.0018616666666666614304
      274       274 0.0074300000000000164524
      274       276 0.0018533333333333441937
