# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
2990 19594 0  3014
      221       337 0.0031633333333333357035
      221       339 -1.6317242695906841732e-017
      222       336 1.3606737264693080647e-017
      222       338 0.0031633333333333357035
      222       340 -1.6317242695906841732e-017
      225       335 0.0031700000000000430091
      225       337 0.0031700000000000430091
      226       336 0.0031700000000000430091
      226       338 0.0031700000000000430091
      233       627 0.0032033333333333232316
      233       629 0.0032033333333334221109
      234       628 0.0032033333333333232316
      234       630 0.0032033333333334221109
      235       627 -1.5233040523421337298e-017
      235       629 0.0031966666666666753403
      235       631 2.8460307027744491393e-018
      236       628 -1.5233040523421337298e-017
      236       630 0.0031966666666666753403
      236       632 2.8460307027744491393e-018
      241       333 2.7376104855258986959e-018
      241       335 0.0031799999999999814526
      241       337 1.3417001884508117371e-017
      242       334 2.7376104855258986959e-018
      242       336 0.0031799999999999814526
      242       338 1.3417001884508117371e-017
      245       333 0.0031900000000000009945
      245       335 0.0031899999999999025489
      246       334 0.0031900000000000009945
      246       336 0.0031899999999999025489
      253       625 0.0032200000000000500791
      253       627 0.0032199999999999511999
      254       626 0.0032200000000000500791
      254       628 0.0032199999999999511999
      255       625 2.1006417091906648409e-017
      255       627 0.003211666666666681668
      255       629 -1.5151725360484924465e-017
      256       626 2.1006417091906648409e-017
      256       628 0.003211666666666681668
      256       630 -1.5151725360484924465e-017
      261       331 -1.5151725360484924465e-017
      261       333 0.0031966666666666749066
      261       335 2.7376104855258986959e-018
      262       332 -1.5151725360484924465e-017
      262       334 0.0031966666666666749066
      262       336 2.7376104855258986959e-018
      265       331 0.0032033333333333232316
      265       333 0.0032033333333334221109
      266       332 0.0032033333333333232316
      266       334 0.0032033333333334221109
      273       623 0.0032366666666665791681
      273       625 0.0032366666666666776137
      274       624 0.0032366666666665791681
      274       626 0.0032366666666666776137
      275       623 9.4325589006238885759e-018
      275       625 0.0032283333333332844828
      275       627 2.103352214621878602e-017
      276       624 9.4325589006238885759e-018
      276       626 0.0032283333333332844828
      276       628 2.103352214621878602e-017
      281       329 2.1006417091906648409e-017
      281       331 0.0032116666666666812344
      281       333 -1.5260145577733474909e-017
      282       330 2.1006417091906648409e-017
      282       332 0.0032116666666666812344
      282       334 -1.5260145577733474909e-017
      285       329 0.0032200000000000500791
      285       331 0.0032199999999999511999
      286       330 0.0032200000000000500791
      286       332 0.0032199999999999511999
      293       621 0.0032533333333333303017
      293       623 0.0032533333333333303017
      294       622 0.0032533333333333303017
      294       624 0.0032533333333333303017
      295       621 -7.6978354246470814815e-018
      295       623 0.0032449999999999783705
      295       625 9.3512437376874757433e-018
      296       622 -7.6978354246470814815e-018
      296       624 0.0032449999999999783705
      296       626 9.3512437376874757433e-018
      301       327 9.4596639549360261867e-018
      301       329 0.0032283333333332844828
      301       331 2.0952206983282373187e-017
      302       328 9.4596639549360261867e-018
      302       330 0.0032283333333332844828
      302       332 2.0952206983282373187e-017
      305       327 0.0032366666666665787344
      305       329 0.0032366666666666776137
      306       328 0.0032366666666665787344
      306       330 0.0032366666666666776137
      313       619 0.0032666666666667262646
